Prompt,Negative,Neutral,Positive,Compound
a group of 5 robots  playin metal music  being crazy  cartoon style   ,0.211,0.789,0.0,-0.34
Pokémon,0.0,1.0,0.0,0.0
a woman that does not lie,0.0,1.0,0.0,0.0
Cute  Indian  8k  18  no blouse saree  girl  frontal shot  ultra detailed  ultra realistic  85mm lens  f/ 1  8  accent lighting  portrait  face  extreme close up  big melons  public street  day  skinny  hair ponytail  pastel  goddess  ,0.059,0.86,0.081,0.2023
cartoon style space vehicle exploring the surface and the dark underground of an unknown  desert planet  reflexive  highly detailed  comicbook  multiple panels  high contrast  ,0.0,1.0,0.0,0.0
A disney style OLd Montreal port chrismas tree light exhibition scene  neon  pixar masterpiece  complicated  thomas kinkade  hyperdetailed  dazzling  mildly psychedelic  q 4,0.0,0.823,0.177,0.6249
Letter of company name G r making a circle with a hand signature  a finger of the OK sign Abstract logo Flat design vector illustration pop,0.0,0.756,0.244,0.7297
evil flowers,0.815,0.185,0.0,-0.6597
Shiba Inu doing stock trading in the office 3D cartoon Shiba Inu Character Character design Creativity Digital Art Education ILLUSTRATION kawaii kids 3d animation after effects animation character animation cinema4d marvelous designer motion design social media  ,0.0,0.84,0.16,0.7579
Black orange and royal blue downtown city neon lights skyline futuristic ultra realistic,0.0,1.0,0.0,0.0
fallen aasimar a shadow sorcess full body portrait  modest clothing  holding a staff  cating a blackspell  she has black hair  she has on eye glowing gold the other glowing purple  she is smiling   ,0.075,0.836,0.09,0.128
Change the colors of the attached picture to the most beautiful colors ExternalUrl ,0.0,0.741,0.259,0.6361
baseball theme background  bluish rays with gold night skyline background  creative  the number 23 on a golden blue baseball cap  40k production  ,0.0,0.819,0.181,0.4939
A gold merchant is sitting inside his gold jewellery shop and he wonders by seeing a diamond among it ,0.0,0.87,0.13,0.34
Imagine a scene where a baby is crying and his mother is holding him close  comforting him  The mother has a concerned expression on her face  while the babys face is scrunched up in distress  In the background  there are iron bars visible  suggesting that the scene takes place in a confined space such as a prison or a cage  The bars could be positioned behind the mother and baby or visible in the foreground or background of the scene  The lighting in the scene should be dim and gloomy  creating a sense of confinement and oppression  The focus of the image should be on the mother and baby  but the presence of the iron bars should be prominent enough to suggest a sense of imprisonment ,0.062,0.887,0.051,-0.0772
Cute character,0.0,0.25,0.75,0.4588
geometric sheet that embody space  huge space about blue sky with clouds and underneath is the ground that seems a little bit warped  atmospheric  aesthetic  ,0.0,0.909,0.091,0.3182
a photography of a brown beer bottle on a yoga mat next to a luxurious swiming pool  with sunlight from the back  macro 50mm lense,0.0,1.0,0.0,0.0
Nendoroid   petit  cute style  Resin material  withe hair with flowers  green eyes with red heart in it cute  delicate  Intricate Detail  Digital Art  Concept Art and Epic Composi  tion  very high details  8k  unreal engine  octane render,0.0,0.789,0.211,0.7783
Professional heads hot using ExternalUrl ,0.0,1.0,0.0,0.0
Title Ancient Maya 3D Landscape Description Immerse yourself in the world of the ancient Maya civilization with this 3D landscape photo prompt  The photo captures the vastness of the landscape  with rolling hills and towering pyramids that reach towards the sky  In the foreground  you can see the intricate details of the stonework  with carved reliefs and intricate designs that hint at the sophistication of this ancient culture  Camera Setup To capture this photo  I used a wide angle lens to capture the vastness of the landscape  I positioned the camera low to the ground to emphasize the height of the pyramids and the depth of the landscape  I used a tripod to ensure stability and sharpness  and I shot in RAW format to capture the full range of colors and tones in the scene  The lighting was natural  with the sun casting deep shadows and creating contrast in the scene  To balance the exposure  I used a graduated neutral density filter to darken the sky and bring out the details in the landscape  Overall  this photo prompt transports the viewer to a time and place long gone  while showcasing the beauty and complexity of the ancient Maya civilization ,0.01,0.901,0.088,0.9118
A WOMAN HOLD A COFFEE LOOK OUTSIDE THE WINDOW  ,0.0,1.0,0.0,0.0
Y2K fashion style Vest fashion model womens fashion street style fashion retro fashion elements color vest leggings dress up intense eye makeup effect fashion hairstyle photography leicamp+50mm+f2 8+1/800 8k  ,0.0,0.956,0.044,0.0772
A gold jewellery retailer is sitting inside his gold jewellery shop and he becomes happy by seeing a diamond among it ,0.0,0.736,0.264,0.7269
a group of 5 robots  playin metal music  being crazy  cartoon style   ,0.211,0.789,0.0,-0.34
create a logo for a clothing brand with a bear  the bear should be in vector style  and the font of the letters should show wilderness,0.0,0.913,0.087,0.2732
geometric sheet that embody space  huge space about blue sky with clouds and underneath is the ground that seems a little bit warped  atmospheric  aesthetic  ,0.0,0.909,0.091,0.3182
Pokémon,0.0,1.0,0.0,0.0
dark creepy city detailed moonlight,0.0,1.0,0.0,0.0
Shiba Inu doing stock trading in the office 3D cartoon Shiba Inu Character Character design Creativity Digital Art Education ILLUSTRATION kawaii kids 3d animation after effects animation character animation cinema4d marvelous designer motion design social media  ,0.0,0.84,0.16,0.7579
a man with a nacho chip eye sings a jaunty tune while his crying wife plays on the skin piano  photograph  dof  ,0.133,0.687,0.18,0.0258
A modern room designed for a girl with vibrant pink walls  a white ceiling  and elegant white crown and base molding  The dark wood floor complements the color scheme  and a large window allows natural light to flood in  A white double door sliding closet and a white bedroom door complete the rooms aesthetic  The photograph captures the room with the perfect balance of lighting and depth  The camera settings used include an f stop of 5 6  a shutter speed of 1/60 sec  an ISO rating of 400  and a focal depth of 35mm  The composition is illuminated with soft  natural sunlight streaming through the large window  and additional diffused lighting from strategically placed light fixtures   ,0.019,0.852,0.129,0.9186
an eyeline level view of an amusement park  with a bright yellos path through the park illuminated via augmented reality  hyper realistic  4k,0.0,0.787,0.213,0.6597
Nendoroid   petit  cute style  Resin material  withe hair with flowers  green eyes with red heart in it cute  delicate  Intricate Detail  Digital Art  Concept Art and Epic Composi  tion  very high details  8k  unreal engine  octane render,0.0,0.789,0.211,0.7783
1980s Sichuan Chengdu  in a teahouse  two elderly people drinking tea and eating snacks around a table  with a chubby giant panda sitting on a chair beside them  gnawing on bamboo The saturation of the image is reduced  Kodak Uitramax 400  ,0.0,1.0,0.0,0.0
a photography of a yoga mat in a luxurious swiming pool,0.0,1.0,0.0,0.0
An 18 year old girl that looks like ExternalUrl  room  very angry and manic looking  with a cute  adorable blue fairy  pixar  disney  short childrens stories  8k  illustration  photorealistic  realistic depth of field  unreal engine 5  ray tracing  hyperrealistic  mgDet&rs=1 photography  cinematic  super detailed  cinematic lighting  FKAA  TXAA  RTX  SSAO  Post Processing  Post production  CGI  VFX  SFX  Full color  HDR  realistic 8k  color Grading  portrait Photography  shot on 50MM lens  Ultra   Wide Angle  Depth of Field  hyper  detailed  beautifully color graded  insane details  intricate details  beautifully color graded  Unreal engine  Cinematic  Color Grading  Editorial Photography  Photography  Photoshoot  Shot on 70mm lense  Depth of Field  Bokeh  DOF  Tilt Blur  Shutter Speed 1/1000  F/22  white balance  32k  Super resolution  Megapixel  ProPhoto RGB  VR  Lonely  Good  Massive  Halfrear Lighting  Backlighting  Natural Lighting  Incandescent  Optical  Backlight  Natural Lighting  Incandescent  Optical Fiber  Moody Lighting  soft lighting  Columetric  Contre   jour  Beautiful Lighting  Accent Lighting  Global Illumination  Ray Tracing Global Illumination  Optics  Glowing  Shadows  Shimmering  Ray  Tracing Reflections  Lumen Reflections  screen Space reflections  Diffraction Grading  Chromatic Aberration  GB Displacment  Scan Lines  Ray Traced  Ray tracing Ambient Occlusion  Anti   aliasing,0.064,0.762,0.174,0.9742
Isometric illustration of someone with a fixed mondset trying to overcome,0.0,1.0,0.0,0.0
using this  create a charcoal photo of a dreary world war II landscape with a soldier who looks like this,0.264,0.544,0.192,-0.4019
ExternalUrl  ExternalUrl ,0.0,1.0,0.0,0.0
Close shot of a cute cat with a furry smile  bright eyes  orange cat with lines  one hand catching butterflies  acrylic texture,0.0,0.58,0.42,0.891
ExternalUrl  add details,0.0,1.0,0.0,0.0
Japanese folktale  japanese  hyperrealistic  oni  forest  sakura  wagasa  kimono  CGI  photpgraphy  wide angle  falling petals   ,0.103,0.897,0.0,-0.1531
a portrait of a beautiful woman as a futuristic cyberpunk fighter pilot  in a jet  city background  hdr  ultra surreal  ultra high quality  ultra high details   ,0.0,0.784,0.216,0.6705
black and white donald trump mug shot giving a thumbs up,0.0,0.789,0.211,0.34
an old woman in appropriate clothing performing on the balance beam at the Olympics  photorealistic  cinematic  ,0.0,1.0,0.0,0.0
an 8 year old smiling boy  that looks like  ExternalUrl able big blue monster  that looks like  ExternalUrl eld  unreal engine 5  ray tracing  hyperrealistic  photography  cinematic  Super detailed  Cinematic Lighting  FKAA  TXAA  RTX  SSAO  Post Processing  Post   Production  CGI  VFX  SFX  Full color  HDR  Realistic  8k  Unreal Engine 5  Cinematic  Color Grading  portrait Photography  Shot on 50mm lens  Ultra   Wide Angle  Depth of Field  hyper   detailed  beautifully color   coded  insane details  intricate details  beautifully color graded  Unreal Engine  Cinematic  Color Grading  Editorial Photography  Photography  Photoshoot  Shot on 70mm lens  Depth of Field  Bokeh  DOF  Tilt Blur  Shutter Speed 1/ 1000  F/ 22  White Balance  32k  Super   Resolution  Megapixel  ProPhoto RGB  VR  Lonely  Good  Massive  Halfrear Lighting  Backlight  Natural Lighting  Incandescent  Optical Fiber  Moody Lighting  Cinematic Lighting  Studio Lighting  Soft Lighting  Volumetric  Contre   Jour  Beautiful Lighting  Accent Lighting  Global Illumination  Ray Tracing Global Illumination  Optics  Scattering  Glowing  Shadows  Rough  Shimmering  Ray Tracing Reflections  Lumen Reflections  Screen Space Reflections  Diffraction Grading  Chromatic Aberration  GB Displacement  Scan Lines  Ray Traced  Ray Tracing Ambient Occlusion  Anti   Aliasing  FKAA  TXAA  RTX  SSAO  Shaders  OpenGL   Shaders  GLSL   Shaders  Post Processing  Post   Production  Cel Shading  Hyperrealistic,0.046,0.796,0.158,0.9753
backdrop medical conference,0.0,1.0,0.0,0.0
create a photo of a blonde kid with a mullet who is fighting off an army of French bulldogs  in a tropical landscape  He has an army of miniature natives shooting arrows at the dogs ,0.074,0.863,0.062,-0.1027
ExternalUrl  as the pope and a nun standing in the sistine chapel  8k  cinematic  v5,0.0,1.0,0.0,0.0
ironman as a big pig,0.0,1.0,0.0,0.0
napolean with his army,0.0,1.0,0.0,0.0
A close up of the finely woven cotton blend material of the shoelace for dress shoes  highlighting the texture and wax coating   ,0.0,1.0,0.0,0.0
create a design with Kurt Russell in big trouble little China Town  funny humor and can be high quality original for a tshirt design,0.094,0.59,0.317,0.6637
1  Image with a laptop and a code The image shows an open laptop  on the screen of which the program code is displayed  This image demonstrates the software development process and focuses on the technical component of your company  2  Product or service icons Create bright and stylish icons representing the main products or services of your company (for example  mobile applications  web development  custom software)  Place them on the image in the form of tiles or mosaics to demonstrate the variety of offers  3  Development Team Use a photo or illustration of a team of professional developers working on the project  This will help emphasize the human aspect of your business and build trust in your company  4  Turning an idea into Reality Visualize the process of turning an idea into a successful product  The image can show a person thinking about an idea (for example  with a light bulb over his head) and a product created based on this idea (for example  a mobile application on a smartphone screen)  5  Graphic element in the form of a rocket The rocket symbolizes rapid growth  innovation and success  Place a stylized rocket on a background that reflects your field of activity (for example  with digital elements  code or abstract graphic elements)  This emphasizes the dynamism of your company and the desire for success   ,0.0,0.848,0.152,0.9858
